a b ts status
0 0 1 hold
0 1 1 hold
0 2 1 hold
0 4 1 hold
0 8 1 hold
0 13 1 hold
0 15 1 hold
1 0 2 hold
1 1 2 hold
1 2 2 hold
1 4 2 hold
1 8 2 hold
1 13 2 hold
1 15 2 hold
2 0 3 hold
2 1 3 hold
2 2 3 hold
2 4 3 hold
2 8 3 hold
2 13 3 hold
2 15 3 hold
4 0 4 hold
4 1 4 hold
4 2 4 hold
4 4 4 hold
4 8 4 hold
4 13 4 hold
4 15 4 hold
8 0 5 hold
8 1 5 hold
8 2 5 hold
8 4 5 hold
8 8 5 hold
8 13 5 hold
8 15 5 hold
13 0 5 hold
13 1 5 hold
13 2 5 hold
13 4 5 hold
13 8 5 hold
13 13 5 hold
13 15 5 hold
15 0 5 hold
15 1 5 hold
15 2 5 hold
15 4 5 hold
15 8 5 hold
15 13 5 hold
15 15 5 hold
